,post
54,"important notice for all: the covid-19 vaccination continues today, the 5th of august, in the city of manila.

the first dose of vaccination is currently underway for those belonging to the a1, a2, a3, a4, and a5 priority groups in lucky chinatown, robinsons place manila, and sm manila.

however, individuals will no longer be accepted in the malls mentioned. this is after up to 2,500 came to such locations to be vaccinated with the first dose.

the vaccination in sm san lazaro has also been canceled. such a step was taken to ensure the safety and security of the public after it was overrun by those wishing to be vaccinated.

meanwhile, the second twelve vaccinations will continue at the san andres sports complex and ramon magsaysay high school.

thank you very much for your understanding.

#alertomanileno #covid19ph"
55,"attention. please share with your loved ones.

the covid-19 mass vaccination will continue tomorrow, july 26, in the city of manila.

Important note for everyone:

vaccinations will be held until 7pm. we encourage everyone to head to our vaccination sites at other times to avoid congestion. we want to ensure your safety.

the first dose vaccination of those belonging to a1, a2, a3, a4, and a5 priority groups will be conducted at four mall sites.

at the same time there will also be a first dose vaccination for those belonging to the a1, a2, a3, a4, and a5 priority groups to be held at 18 school sites.

for all vaccinators, just show your printed waiver form or qr code for verification.

Please also bring your ID and don't forget to follow the minimum health protocols when it comes to the vaccination site. thank you very much.

manila, god first! ☝️ —mayor isko moreno domagoso"
56,"attention. please share with your loved ones.

the covid-19 mass vaccination will continue tomorrow, july 25, in the city of manila.

Important note for everyone:

vaccinations will be held until 7pm. we encourage everyone to head to our vaccination sites at other times to avoid congestion. we want to ensure your safety.

the first dose vaccination of those belonging to a1, a2, a3, a4, and a5 priority groups will be conducted at four mall sites.

at the same time there will also be a first dose vaccination for those belonging to the a2 and a3 priority groups which will be held at 18 school sites.

for all vaccinators, just show your printed waiver form or qr code for verification.

Please also bring your ID and don't forget to follow the minimum health protocols when it comes to the vaccination site. thank you very much.

manila, god first! ☝️ —mayor isko moreno domagoso"
57,"attention. please share with your loved ones.

the covid-19 mass vaccination will continue tomorrow, july 21, in the city of manila.

Important note for everyone:

vaccinations will be held until 7pm. we encourage everyone to head to our vaccination sites at other times to avoid congestion. we want to ensure your safety.

the first dose vaccination of those belonging to a1, a2, a3, a4, and a5 priority groups will be conducted at six lgu hospitals and at the san andres sports complex.

at the same time, there will be a first dose vaccination for those in the a2 group which will be held at 12 school sites.

those belonging to the a1, a2, a3, a4, and a5 priority groups that were first vaccinated on June 23, 2021 will also receive their second dose of sinovac. It will be held at four mall sites and six school sites.

for all vaccinators, just show your printed waiver form or qr code for verification.

Please also bring your ID and don't forget to follow the minimum health protocols when it comes to the vaccination site. thank you very much.

manila, god first! ☝️ —mayor isko moreno domagoso"
58,"2nd dose vaccination schedule for those vaccinated last july 5, 2021 tomorrow"
59,"news alert: mayor isko lays out public education plan for capital city

manila city mayor francisco 'isko moreno' domagoso bared on tuesday, july 15, that more than p5 billion worth of budget has already been allocated for the construction of three modernized public schools.

domagoso said during his third state of the city address that education should remain open for every student most especially this time of pandemic.

""manila remains the education capital of the philippines. as we believe in 'education for all', manila schools are open to children wherever they live,"" domagoso said.

""this is so because admission should not be based on a learner’s postal zip code. for as long as student has the zeal to learn, they can, in manila,"" he added.

under the city government's educational plan, about p2 billion worth of budget was allocated for the construction of dr. alejandro albert elementary school, p1.9 billion for rosauro almario elementary school's construction, and p1.3 billion for the construction manila science high school.

the said plan was on top of the efforts made in support of the blended/distance learning modalities being implemented in the country due to covid-19.

“we will take our adversity in our advantage. we will prepare for the next 10-15 years of population growth because it is high time and timely that these facilities to be used,” the mayor said.

“we will invest, and invest, and invest, to our future which is our children to have a better upscale public school building,” he added.

about 137,217 tablets with sim cards were also distributed for public school students from kinder to senior high school, while about 11,000 laptops were given to public school teachers last year.

in preparation for the upcoming school year, domagoso approved the procurement of the 60,820 additional tablets for newly enrolled public school students this upcoming school year.

the local government has also set aside p120,600,000 for four months' worth of internet data for about 201,000 k-12 students, and about p5 million for teachers' training.

a standby fund worth p60,532,256.37 was also made in case there will be an increase in enrollment in manila's public schools.

""covid worsened the digital deficit. and the divide is no longer between the haves and the have nots but the knows and the don’t knows,"" the mayor said.

""hindi po nating pinayagan ang mga batang maynila na mapabibilang sa lost generation, the covid class of 2020, 2021, 2022,"" he added.

#alertomanileno #bagongmaynila"
60,"to intensify vaccination in our city, the manila health department is looking for ""volunteers"" for the 24/7 vaccination program we will launch through bayanihan in manila.

manila, god first! —Mayor isko moreno domagoso"
61,"breaking news: the city of manila is fully under “enhanced community quarantine” starting today, August 6, until August 20.

#alertomanileno #covid19ph"
62,"the fire-aim-ready kind of justice is not allowed here. to arrest, to sue, to imprison. don't bury it right away. because you did the latter, you are already hooked to the law, you are still hooked in the eyes of god. rule of law as a matter of policy should be followed. rules should be applicable to everyone

francisco 'isko moreno' domagoso
mayor, city of manila
on addressing criminality in the nation's capital"
63,"important notice: lucky chinatown mall, robinsons place manila, and sm manila will no longer accept individuals who will be vaccinated this thursday, august 5th.

this is after up to 2,500 came to such locations to be vaccinated with the first dose.

thank you very much for your understanding.

#alertomanileno #covid19ph"
64,"good news, manila kids!

we have already deployed one million vaccines in the city of manila this week. with the arrival of the delta variant in our country and city, I encourage everyone to get vaccinated to increase our protection against it.

please register at www.manilacovid19vaccine.ph to reserve your slot.

manila, god first! —Mayor isko moreno domagoso"
65,"attention. please share with your loved ones.

the covid-19 mass vaccination will continue tomorrow, july 22, in the city of manila.

Important note for everyone:

vaccinations will be held until 7pm. we encourage everyone to head to our vaccination sites at other times to avoid congestion. we want to ensure your safety.

the first dose vaccination of those belonging to a1, a2, a3, a4, and a5 priority groups will be conducted in six lgu hospitals.

at the same time, there will also be a first dose vaccination for those belonging to the a2 and a3 priority groups which will be held at four mall sites.

members of the a2 priority group who were first vaccinated on May 13, 2021 will also receive their second dose of astrazeneca. It will be held at 18 school sites in the city.

there is also a second dose vaccination of sinovac for deped-manila teachers and employees who were first vaccinated on june 22-23 at the universidad de manila. their second dose vaccination will be held at the san andres sports complex.

for all vaccinators, just show your printed waiver form or qr code for verification.

Please also bring your ID and don't forget to follow the minimum health protocols when it comes to the vaccination site. thank you very much.

manila, god first! ☝️ —mayor isko moreno domagoso"
66,"attention. please share with your loved ones.

the covid-19 mass vaccination will continue tomorrow, july 14, in the city of manila.

Important note for everyone:

vaccinations will be held until 7pm. we encourage everyone to head to our vaccination sites at other times to avoid congestion. we want to ensure your safety.

members of the a2 and a4 priority groups who were first vaccinated on June 16, 2021 will receive their second dose of sinovac. It will be held at four mall sites.

at the same time, those belonging to the a1, a2, and a3 priority groups who were first vaccinated on june 2. will also have a second dose vaccination of sputnik v in six lgu hospitals.

for all vaccinators, just show your printed waiver form or qr code for verification.

Please also bring your ID and don't forget to follow the minimum health protocols when it comes to the vaccination site. thank you very much.

manila, god first! ☝️ —mayor isko moreno domagoso"
67,"attention. please share with your loved ones.

the covid-19 mass vaccination will continue tomorrow, july 23, in the city of manila.

Important note for everyone:

vaccinations will be held until 7pm. we encourage everyone to head to our vaccination sites at other times to avoid congestion. we want to ensure your safety.

the first dose vaccination of those belonging to a1, a2, a3, a4, and a5 priority groups will be conducted at six lgu hospitals and at the san andres sports complex.

at the same time, there will also be a first dose vaccination for those belonging to the a2 and a3 priority groups which will be held at four mall sites.

those belonging to the a1, a2, and a3 priority groups who were first vaccinated on May 14 and May 15, 2021 will also receive their second dose of astrazeneca. It will be held at 18 school sites in the city.

for all vaccinators, just show your printed waiver form or qr code for verification.

Please also bring your ID and don't forget to follow the minimum health protocols when it comes to the vaccination site. thank you very much.

manila, god first! ☝️ -mayor isko moreno domagoso"
68,"delta variant. very important. please share.

#thecapitalreport"
69,"important notice from the manila health department: we will not be vaccinating against covid-19 tomorrow, saturday, august 7.

stay tuned to our social media pages for more information regarding the vaccination schedule in the city of manila.

thank you very much.

#alertomanileno #covid19ph"
70,"see: led by manila city mayor francisco 'isko moreno' domagoso, vice mayor maria sheilah 'honey' lacuna-pangan, and manila department of social welfare (mdsw) director re fugoso today, july 23 the inauguration of the new and better mdsw office in manila city hall.

according to the mayor, it is part of the city’s ongoing development of its facilities while providing better service to every millennial.

(photos by christian turingan / mpio)

#alertomanileno"
71,"see: covid-19 mass vaccination continues today, july 20th, in the city of manila.

Important note for everyone:

vaccinations will be held until 7pm. we encourage everyone to head to our vaccination sites at other times to avoid congestion. we want to ensure your safety.

the first dose vaccination of those belonging to a1, a2, a3, a4, and a5 priority groups will be conducted at 12 school sites and san andres sports complex.

those belonging to the a1, a2, a3, a4, and a5 priority groups that were first vaccinated on June 22, 2021 will receive their second dose of sinovac. It will be held at six school sites and four mall sites.

for all vaccinators, please show your printed waiver form or qr code for verification.

Also bring your ID and don't forget to follow the minimum health protocols when it comes to the vaccination site.

#alertomanileno #covid19ph"
72,"city ​​health advisory: we don't have covid-19 mass vaccination tomorrow, saturday, july 17.

The vaccination will continue in the city this coming Monday, July 19.

stay tuned to our social media pages for more updates regarding manila covid-19 mass vaccination.

thank you very much.

#alertomanileno #covid19ph"
73,"news alert: manila started construction of modernized school in sampaloc

formally began construction of the new elementary school of dr. alejandro albert in sampaloc, manila this monday, august 2nd.

led by mayor francisco 'isko moreno' domagoso and second mayor ma. sheilah ‘honey’ lacuna pangan the cornerstone laying ceremony this morning.

it was the last of three scheduled to be built modernized schools, following ceremonies held at rosauro almario elementary school in tondo and manila high school science.

""This is our commitment to all Manila children in the development of our public school facilities,"" Domagoso said in an interview with reporters.

""Building this school is our way of strengthening the public school system in the city and at the same time addressing the problem of teacher-student ratio,"" he added.

plans to build 234 classrooms, 16 offices, a library, a canteen, an auditorium, a gym, a 'roof deck' for rehearsal and sports, two 'basketball courts,' ten 'elevator units' which fits 24 people each, and seven stairs.

approximately P2 billion is allocated budget for the construction of modern primary schools.

according to the mayor, the strengthening and strengthening of the public education sector in manila remains a priority of the city government.

""Even if the pandemic continues to test us, we will not forget the education sector. Today is a testament to you. We will continue to strengthen our public education system,"" Domagoso said.

""We will continue to strive to be good, prudent, and efficient public servants. We will continue to address the concern of our teachers and the future generation which is our students,"" he added.

#alertomanileno"
74,"congratulations, team manila!

we've reached another all-time high vaccination record in a single day.

because we vaccinated up to 44,570 people as of 8pm this Saturday, July 31.

Thank you so much, young people of Manila, for continuing to participate in our #vaccinenation campaign! —Mayor isko moreno domagoso"
75,"look: manila city mayor francisco ‘isko moreno’ domagoso on monday, july 19, led the groundbreaking ceremony for the redevelopment and construction of the new 10-storey rosauro almario elementary school in tondo.

vice mayor ma. sheilah ‘honey’ lacuna pangan joined domagoso for the groundbreaking of the new school which would be constructed in line with the local government’s plan to modernize the city’s public education sector.

""sa maliit kong kaparaanan, sa tulong ng ating vice mayor honey lacuna, mga konsehal, we will empower the public education system by providing enough facility and good studying environment by putting all necessary recipe sa isang public education,"" domagos said.

(photos by christian turingan/mpio)

#bagongmaynila"
76,"manila remains the education capital of the philippines. as we believe in 'education for all', manila schools are open to children wherever they live. this is so because admission should not be based on a learner’s postal zip code. for as long as student has the zeal to learn, they can, in manila

francisco 'isko moreno' domagoso
mayor, city of manila
on the future of education in the nation's capital"
77,"important announcement from the manila health department: only vendors and workers in the divisoria will receive their second dose of the covid-19 vaccine today, august 2nd at the divisoria, recto avenue.

other individuals will not receive the vaccination site in the divisoria.

stay tuned to the mayor’s official facebook pages and the public information office for the city’s vaccination schedule in the coming days.

thank you very much for your understanding.

#alertomanileno #covid19ph"
78,"city health advisory: for correction of information (except cellphone number) and retrieval of accounts (i.e. forgot first name, unable to login) kindly send an e-mail to vaccineinfo@manila.gov.ph.

meanwhile, those who would like to request a copy of their vaccination id and certification are advised to send an e-mail to manilacovid19passport@gmail.com.

thank you.

#alertomanileno #covid19ph"
79,"business alert: sm city manila and sm city san lazaro announced that overnight parking charges are waived on saturday, july 24.

both malls said that this is to accommodate ""those who wish to seek temporary shelter"" affected by the heavy downpour.

#smannouncements #alertomanileno"
80,"attention. please share with your loved ones.

the covid-19 mass vaccination will continue tomorrow, july 15, in the city of manila.

Important note for everyone:

vaccinations will be held until 7pm. we encourage everyone to head to our vaccination sites at other times to avoid congestion. we want to ensure your safety.

those belonging to the a2 and a4 priority groups who were first vaccinated on June 17, 2021 will receive their second dose of sinovac. It will be held at four mall sites.

at the same time, those belonging to the a1, a2, and a3 priority groups who were first vaccinated on june 3. will also have a second dose vaccination of sputnik v in six lgu hospitals.

there will also be a second dose vaccination of the pfizer vaccine for those belonging to the a4 priority group who were vaccinated on june 24. it will be held at the san andres sports complex.

for all vaccinators, just show your printed waiver form or qr code for verification.

Please also bring your ID and don't forget to follow the minimum health protocols when it comes to the vaccination site. thank you very much.

manila, god first! ☝️ —mayor isko moreno domagoso"
81,"look: manila mayor isko moreno domagoso inspected the ongoing mass vaccination at the university of santo tomas (ust) on monday, july 26.

domagoso was joined by manila vice mayor honey lacuna-pangan during the launching of the ust practice gym vaccination site wherein the city government rolled out about 1,000 doses of first dose covid-19 vaccine shots

domagoso and lacuna-pangan were welcomed by ust rector fr. richard ang, o.p., ust secretary general fr. louie coronel, o.p. among other officials of the university.

(photos by christian turingan and k r de asis/mpio)

#alertomanileno #covid19ph"
82,"delta variant update. mass vaccination 1st dose and 2nd dose. food security program update (food boxes).

#specialreport #bagongmaynila"
83,"happy 107th founding anniversary to our brothers and sisters from iglesia ni cristo! the city of manila joins you in commemorating this special celebration.

in this time of pandemic, the manila city government would also like to thank the help given by iglesia ni cristo for the manileños. I hope my father will be happy for you so that you can continue to help others and our country.

again, congratulations to the church of christ on your 107th founding anniversary! —Mayor isko moreno domagoso"
84,"the capital report: drive thru vaccination | covid-19 update | delta variant preparations update | tolongges time | vaccination certificate | ask yorme!

#alertomanileno"
85,"good night, manila!

here is the aerial shot from dagupan outpost of moriones tondo police station tonight in divisoria.

Just a reminder, we are in enhance community quarantine (ecq) again. let's follow the curfew hours. Many thanks to our police for enforcing our rules, especially to ps 2 led by lt. col. magno gallora jr., and dagupan outpost led by psms gerry tubera.

manila, god first! —Mayor isko moreno domagoso"
86,"2nd dose vaccination for those who vaccinated the 1st dose on July 6, 2021

#alertomanileno"
87,"watch: message by manila city mayor francisco 'isko moreno' domagoso at the groundbreaking ceremony of the new 10-storey manila science high school.

#bagongmaynila #asensomanileno"
88,"see: vaccination continues at the drive-thru vaccination site of the city of manila at the quirino grandstand this week, august 1st.

the entire force of the manila disaster risk reduction and management office assists those who want to be vaccinated with the first dose here in the city of manila.

important note, the drive-thru vaccination site in luneta does not accept “walk-in clients”.

the only ones to be vaccinated are those who have made a reservation on the website www.manilacovid19vaccine.ph. slots are limited here.

if there is no visible day or slot on the website, it just means there is no slot yet. just wait for the next announcement.

(photos by mdrrmo)

#alertomanileno #covid19ph"
89,"see: manila mayor isko moreno domagoso led the opening of the dialysis center in sta. ana hospital today thursday, august 5th.

according to the mayor, the local government aims to improve its medical facilities to address other diseases while also continuing its fight against the threat of covid-19.

the new dialysis center has 11 seats and six hemodialysis machines, an ecg machine, suction machine, hepa filter, e-cart with medications, digital wheelchair weighing scale, and new computers.

it is also able to care for 26 patients per month who undergo dialysis three times a week.

this is the third dialysis center built by the manila city government. another dialysis center is located at manila hospital and gut andres bonifacio memorial medical center.

(photos by christian turingan / mpio)

###"
90,"young manila!

Here is the vaccination data in our city until today, August 1 (at 8 pm). 1,368,389 vaccine doses have already been injected into our countrymen under the leadership of the manila health department.

up to 39,354 doses of the vaccine were deployed this day of the week while 99.29% of those scheduled to be given the second dose received it.

let’s work together towards the ultimate suppression of covid-19! Thank you very much for your cooperation in the city government's goal of vaccinating more millennials. 🙏🏼

manila, god first! ☝️ —mayor isko moreno domagoso"
91,"vaccination schedule for a1 and a2 priority groups | launching of intramuros health center | ask yorme!

#alertomanileno"
92,"see: mayor francisco ‘isko moreno’ domagoso led the cornerstone laying ceremony at the new elementary school of dr. alejandro albert in sampaloc, manila

about P2 billion is set aside to build the school which is set to have ten floors, modern facilities and modernized equipment.

(photos by christian turingan/public information office)

#alertomanileno #bagongmaynila"
93,"news alert: manila administers 1 million covid-19 vaccines

more than 1,000,000 covid-19 vaccines have been administered by the manila city government since the vaccination rollout against the deadly virus began in march.

as of 9:04 am of monday, july 19, the local government administered about 1,000,021 covid-19 vaccines. about 657,748 received their first jab of vaccine, while 342,273 out of 657,748 have already been fully vaccinated.

following this report, manila city mayor francisco 'isko moreno' domagoso said the fight against covid-19 pandemic should be addressed inclusively with the help of the general public.

""Let's fight together and protect each and every one of us, every person, not just because we are from Manila, if not every rich man,"" Domagoso said.

""Let's not be afraid. Let's not give up. Let's not lose hope. We will win. We will definitely win,"" the mayor added.

the mayor encouraged his constituents and the general public to get vaccination in order to protect themselves from severe covid-19 infection.

domagoso said the manila city government would continue to give hope in the public’s hearts, vowing to create more initiatives and programs to fight the covid-19 pandemic.

""Let's help each other. We will also meet in the finals. We are just a boat, nothing else,"" Domagoso said.

""we must continue the journey of a better city. life must go on. public service must go on. we will not stop, we will not stop. may awa ang diyos, makakaraos tayo,"" he added.

#alertomanileno #covid19ph"
94,"notice to the public: here are the new hours of operation of sm manila, sm san lazaro, and savemore starting this friday, august 6th.

this is after the city of manila was subjected to enhanced community quarantine until the 20th of august.

reminds the management of said malls to follow health protocols at all times.

#alertomanileno #covid19ph"
95,"children of manila, here is the application process for those who want to volunteer for our 24/7 vaccination.

the manila health department requires the following:

—Doctor (doctor)
—Nars (nurse)
—Dentist (dentist)
—Midwife
—Medical technologist
—Pharmacist
—Other allied health professionals (all other allied health professionals)
—College graduates or college students who are computer-literate (college graduates or college students who are computer-literate)
—Others

please contact any of these numbers first: 09951069524 (globe) or 09606040771 (smart) with your name and profession being applied for.

Please wait for a text from our office, and download and fill out the application form using this (https://drive.google.com/file/d/1ya-89aamc7_vcnqj5p7fmalwivskqvah/view) which you will take with you in your orientation.

let's work together, young people of manila so that we can eradicate the plague of covid-19.

manila, god is the first!

-\-\ capital isko moreno domagoso"
96,"extreme weather alert: the manila disaster risk reduction and management office monitored some flooded areas in the city of manila on thursday afternoon following the heavy downpour.

mdrrmo said that the following are the flooded areas as of 2:20pm but is still passable to all types of vehicles.

gutter deep
m. orosa cor p. burgos
quirino corner taft avenue
quirino corner leon guinto
maria orosa cor finance
padre faura (nortbound and southbound)
u.n station
quirino facing vito cruz
taft nbi (nortbound and southbound)

ankle deep
taft avenue cor natividad
taft avenue beside pnu
quirino station

the public are highly advised to take extra precautions as orange rainfall warning is in effect in the nation's capital.

#alertomanileno"
97,"see: covid-19 mass vaccination continues today, august 1st in the city of manila.

Important note for everyone:

vaccinations will be held until 7pm. we encourage everyone to head to our vaccination sites at other times to avoid congestion. we want to ensure your safety.

the second dose of sinovac vaccination will be conducted among those belonging to the a1, a2, a3, a4, and a5 priority groups that were first vaccinated on july 4, 2021. it will be held at four mall sites and 18 school sites.

for all vaccinators, please show your printed waiver form or qr code for verification.

Also bring your ID and don't forget to follow the minimum health protocols when it comes to the vaccination site.

#alertomanileno #covid19ph"
98,"if people are shown how taxes they have paid are spent, they will pay it, on time. i say it again: the best way to promote tax obedience is to practice good governance.

francisco 'isko moreno' domagoso
mayor, city of manila
on addressing the business sector"
99,"public service announcement: sm manila and sm san lazaro will no longer accept individuals to be vaccinated this morning, july 25.

this is after a sufficient number of people arrive in their malls who want to be vaccinated by the first dose.

thank you very much for your understanding.

#alertomanileno #covid19ph"
100,"see: mass vaccination against covid-19 continues today, august 3 in the city of manila.

Important note for everyone:

vaccinations will be held until 7pm. we encourage everyone to head to our vaccination sites at other times to avoid congestion. we want to ensure your safety.

a second dose of sinovac vaccination will be conducted for those belonging to the a1, a2, a3, a4, and a5 priority groups who were first vaccinated on July 5, 2021 only. it will be held at four mall sites and 18 school sites.

for all vaccinators, just show your printed waiver form or qr code for verification.

Also bring your ID and don't forget to follow the minimum health protocols when it comes to the vaccination site.

#alertomanileno #covid19ph"
101,vaccination update | covid-19 update
102,"attention. please share with your loved ones.

the covid-19 mass vaccination will continue tomorrow, july 16, in the city of manila.

Important note for everyone:

vaccinations will be held until 7pm. we encourage everyone to head to our vaccination sites at other times to avoid congestion. we want to ensure your safety.

those belonging to the a2 and a4 priority groups who were first vaccinated on June 18, 2021 will receive their second dose of sinovac. It will be held at four mall sites.

at the same time, those in the a4 priority group who were first vaccinated on june 8 will also have a second dose vaccination of sputnik v. it will be held at the san andres sports complex.

there will also be a second dose vaccination of sputnik vaccine for those belonging to the a1, a2, and a3 priority groups who were vaccinated on june 8. it will be held at six lgu hospitals.

for all vaccinators, just show your printed waiver form or qr code for verification.

Please also bring your ID and don't forget to follow the minimum health protocols when it comes to the vaccination site. thank you very much.

manila, god first! ☝️"
103,"see: covid-19 mass vaccination continues today, july 29th in manila city.

Important note for everyone:

vaccinations will be held until 7pm. we encourage everyone to head to our vaccination sites at other times to avoid congestion. we want to ensure your safety.

the second dose of modern vaccination will be performed for the following:

- members of a1 (along with their relatives) and a2 priority groups who were vaccinated on july 1, 2021 at gut andres bonifacio memorial medical center hospital of tondo. will hold their second dose vaccination at lucky chinatown mall.

- members of a1 (including their relatives) and a2 priority groups who were vaccinated on july 1, 2021 in sta. there is a hospital. their second dose vaccination will be held in sm city manila.

- members of a1 (along with their relatives) and a2 priority groups who were vaccinated on july 1, 2021 at justice jose abad santos general hospital and sampaloc hospital. their second dose vaccination will be held in sm city san lazaro.

- members of a1 (along with their relatives) and a2 priority groups who were vaccinated on july 1, 2021 at the manila hospital. their second dose vaccination will be held at robinsons place manila.

- members of a1 (along with their relatives) and a2 priority groups who were vaccinated on july 1, 2021 at manila prince hotel. their second dose vaccination will be held at the san andres sports complex.

for all vaccinators, please show your printed waiver form or qr code for verification.

Also bring your ID and don't forget to follow the minimum health protocols when it comes to the vaccination site.

#alertomanileno #covid19ph"
104,extreme weather alert: updates on the situation in the city of manila
105,"city health advisory: all individuals who want to avail free rt-pcr swab test at the sta. ana hospital are required to follow the steps below:

1. request for schedule thru e-mail at sahrtpcr20@yahoo.com and wait for your schedule that will be sent to your e-mail
2. pre-register at https://sahrtpcr7.iteasyservices.com/#
3. print the cif form with the qr code
4. proceed to sta. ana hospital swabbing area on the day of schedule given. bring the printed cif form with qr code, 2 valid identification card photocopies, and 1 philhealth id photocopy.

please present all required documents to the staff on duty at the swabbing area.

please be reminded that no printed cif form with qr code, no swabbing.

#alertomanileno #covid19ph"
106,"look: the manila barangay bureau (mbb) ordered all home quarantine covid-19 positive patients to immediately transfer at the quarantine facilities of the city.

mbb dir. romeo bagay issued the memorandum after the department of health announced the detection of the delta variant in the national capital region.

he said that patients shall be immediately coordinated with the manila health department and the manila emergency operations center for immediately transfer.

bagay added that strict implementation and enforcement of minimum health protocols shall be observed.

""in case of refusal and or defiance to this quarantine directive, police assistance may be requested from the nearest mpd station,"" the memorandum issued july 17 read.

""in line with this, covid-19 positive patients who resist or defy this quarantine directive may be criminally prosecuted in the proper court for violation of section 9 (e) 'non-cooperation of the person or entitles identified as having the notifiable disease, or affected by the health event of public concern' of ra 11332 otherwise known as the mandatory reporting of notifiable diseases and health events of public health concern act,"" it added.

closely monitoring of occurrence of covid-19 patients within the barangays officials' respective areas shall also be implemented.

bagay further encouraged all barangay officials to get vaccinated as soon as possible.

#alertomanileno #covid19ph"
107,"congratulations, team manila!

here is the vaccination data of our city as of today, July 28 at 7pm. 1,272,979 vaccine doses have already been injected into our countrymen under the leadership of the manila health department.

You can also see here the breakdown of 26,495 doses of the vaccine deployed this Thursday. 99.84% of those scheduled to be given the second dose received it.

more good news folks-the total number of vaccines deployed in the city has reached 253,066 in just nine days!

let's work together towards the ultimate suppression of covid-19 children manila! Thank you so much for your continued participation in our #vaccinenation campaign. 🙏🏼

manila, god first! ☝️ —mayor isko moreno domagoso"
108,"see: the mass vaccination against covid-19 continues today, the 4th of august in the city of manila.

Important note for everyone:

the vaccination will be held until 7 pm. we encourage everyone to head to our vaccination sites at other times to avoid congestion. we want to ensure your safety.

note for those first vaccinated at holy trinity academy: your 2nd dose vaccination will be conducted at graciano lopez jaena elementary school.

the second dose of sinovac vaccination will be conducted in those belonging to the a1, a2, a3, a4, and a5 priority groups that were first vaccinated on July 6, 2021 only. it will be held at four mall sites and 18 school sites.

for all vaccinators, please show your printed waiver form or qr code for verification.

Also bring your ID and don't forget to follow health protocols when it comes to the vaccination site.

#alertomanileno #covid19ph"
109,"delta variant update | vaccination for first dose and second dose update | covid-19 update | itanong mo kay yorme!

#alertomanileno"
110,"delta variant update | senior allowance update | vaccination update (1st dose and 2nd dose) | covid-19 update | ask yorme!

#bagongmaynila #thecapitalreport"
111,"'jab' well done, team manila!

here is the vaccination data of our city as of today, July 31 at 8pm. 1,328,713 vaccine doses have already been injected into our countrymen under the leadership of the manila health department.

You can also see here the breakdown of 44,570 doses of the vaccine deployed this Saturday. 99.92% of those scheduled to be given the second dose received it.

let's work together towards the ultimate suppression of covid-19 children manila! Thank you so much for your continued participation in our #vaccinenation campaign. 🙏🏼

manila, god first! ☝️ —mayor isko moreno domagoso"
112,"last week a groundbreaking ceremony was held for the construction of the new 10-storey fully air-conditioned rosauro almario elementary school.

we want better, better and progressive facilities for our students, and hope that your city government will not stop so that we can achieve this.

manila, god first! —Mayor isko moreno domagoso"
113,"ofw vaccination tomorrow | 2nd dose vaccination tomorrow | sta. ana hospital dialysis center update | update on target population for vaccination

#alertomanileno #covid19ph"
114,"city health advisory: all individuals who want to avail free rt-pcr swab test at the sta. ana hospital are required to follow the steps below:

1. request for schedule thru e-mail at sahrtpcr20@yahoo.com and wait for your schedule that will be sent to your e-mail
2. pre-register at https://sahrtpcr7.iteasyservices.com/#
3. print the cif form with the qr code
4. proceed to sta. ana hospital swabbing area on the day of schedule given. bring the printed cif form with qr code, 2 valid identification card photocopies, and 1 philhealth id photocopy.

please present all required documents to the staff on duty at the swabbing area.

please be reminded that no printed cif form with qr code, no swabbing.

#alertomanileno #covid19ph"
115,"new school for manila kids

groundbreaking ceremony for the redevelopment and construction of the new rosauro almario elementary school!

led by yorme isko and vice mayor honey

#bagongmaynila"
116,"see: covid-19 mass vaccination continues today, july 23rd in manila city.

Important note for everyone:

vaccinations will be held until 7pm. we encourage everyone to head to our vaccination sites at other times to avoid congestion. we want to ensure your safety.

the first dose vaccination of those belonging to the a1, a2, a3, a4, and a5 priority groups will be conducted at six lgu hospitals and at the san andres sports complex.

at the same time, there will also be a first dose vaccination for those belonging to the a2 and a3 priority groups which will be held at four mall sites.

those belonging to the a1, a2, and a3 priority groups who were first vaccinated on May 14 and May 15, 2021 will also receive their second dose of astrazeneca. It will be held at 18 school sites in the city.

for all vaccinators, please show your printed waiver form or qr code for verification.

Also bring your ID and don't forget to follow the minimum health protocols when it comes to the vaccination site.

#alertomanileno #covid19ph"
117,"erratum: the manila health department is correcting its advisory regarding the second dose vaccination schedule tomorrow, july 16.

members of a1, a2, and a3 priority groups who got vaccinated with sputnik v last june 7 will receive their second dose at the six lgu hospitals.

meanwhile, those who belong to the a2 and a4 priority groups who got vaccinated last june 18 will receive their second dose of sinovac vaccine at the four mall sites.

moreover, a4 priority group members who got inoculated last june 8 will get their second dose of the sputnik v vaccine at san andres sports complex.

thank you!"
118,vaccination update for senior citizens tomorrow (a2 priority group) | vaccination update for 1st and 2nd dose
119,"see: the manila city government conducted tonight, august 2nd the vaccination of the second dose of sinovac in divisoria, recto for shippers, drivers, pageants, pedicab drivers, cricket drivers, fish, vegetable and meat vendors from manila, northern luzon, central luzon and southern luzon working in the divisoria night market that was first vaccinated on july 4, and july 5, 2021.

from 5:00 pm to 5:00 am this vaccination is for workers and vendors.

(photos by k r de asis / mpio)

#alertomanileno #covid19ph"
