,post
53,"nagpahigayon og oplan bulabog ang mga sakop sa cebu city police office-city mobile force company (ccpo-cmfc) uban sa mga personnel sa cebu city transportation office (ccto) dinhi sa dakbayan sa sugbo kagabii hangtud kaganihang buntag biyernes, hulyo 30, 2021.

tumong sa gihimo sa atong kapulisan ug personnel sa ccto mao ang pag rekorida aron pahimangnuan ug pagpasidaan sa katawhan sa siyudad kabahin sa mga safety protocols nga aduna kita’y curfew ug liquor ban ubos sa executive order (eo) no. 136.

base sa eo no. 136 ang curfew gipaubsan gikan sa alas 10:00 sa gabii hangtod alas 4:00 sa kadlawon gumikan sa pagsaka og balik sa kaso sa corona virus disease (covid-19 dinhi sa dakbayan sa sugbo.

ang labing gibantayan karon sa department of health mao ang pagsulod na sa delta variant dinhi sa siyudad ug sa kinatibuk-ang central visayas.

hangyo sa city government sa katawhan nga magmatngon ta kanunay sa akong mga lakaw ug dili mokompyansa og padayong motamod sa mga health protocols nga gipatuman aron malikay nga matakdan sa mas delikado nga virus nga mipakatap na karon sa central visayas."
54,"our lady of mt.carmel|| novena mass @ carmelite monastery, mabolo cebu city"
55,"mi-allocate og 1,200 ka sputnik v nga vaccine karong adlawa ang cebu city vaccine operations center (voc) sa vaccination site sa uc alcantara alang sa first dose.

ang department of health central visayas (doh-7) mihatag og 5,000 ka sputnik v vaccine sa cebu city aron gamiton alang sa padayon nga vaccination program sa siyudad.

gigamitan og laing klase nga suga ang vaccination site kun diin sputnik v nga vaccine ang gi-administer tungod kay mao kini gi-require sa maong vaccine.

sa pagkakaron, sirado una ang uban nga mga vaccination sites tungod sa kakuwang sa bakuna.

matod ni dr. jeffrey ibones, ang nangu sa voc ug oic sa cebu city health department (cchd), naghinaut siya nga mahatagan og daghan nga bakuna ang dakbayan sa sugbo kay iyang nakita nga ang problema gyud mao ang supply sa bakuna.

subling gipahimangnuan usab ni dr. ibones ang kadtong mga magpabakuna nga magdala og ilang kaugalingon nga mga ballpen aron malikayan ang paghuwam-huwam nga posibleng mahimong hinungdan sa pagkaylap sa virus.

cebu city vaccine operations center (voc) is allocating 1,200 sputnik v vaccines today at uc alcantara for the first dose.

department of health central visayas (doh-7) gave 5,000 sputnik v vaccine in cebu city to be used for the city's ongoing vaccination program.

the vaccination site was used by a different kind of light where sputnik v vaccine was administered because it is required by the vaccine.

for now, other vaccination sites are closed first due to lack of vaccination.

dr said. jeffrey ibones, the voc and oic of cebu city health department (cchd), hoped that the city of cebu will be given more vaccines because he found that the problem is the supply of vaccines.

subling was also enjoyed by dr. vaccinators bring their own ballpens to avoid borrowing which could possibly cause the spread of the virus."
56,carmelite monastery cebu|| novena mass- july 8 (thursday)
57,"press conference of acting mayor mike rama, august 6, 2021"
58,"tungod sa pagpataka og parking bisan dunay mga pahimangno, cebu city transportation office (ccto) naka clamp og 11 ka mga sakyanan ug laing 8 ang naisyuhan og citation ticket alang sa ilang traffic violations atol sa gipahigayong operation sa sitio sudlon ug dalan echavez karong adlawa, hulyo 19, 2021.

because of parking even though there are notifications, cebu city transportation office (ccto) clamped 11 cars and another 8 were issued a citation ticket for their traffic violations during the alleged operation in sitio sudlon and road echavez today, july 19, 2021."
59,"ang cebu city government pinaagi sa market operations division (mod) inubanan sa megawide corporation nagpahigayon og turn over ug stall awarding ceremony alang sa mga rehistradong manindahay sa carbon public market gikan sa freedom park ug warwick barracks niadtong biyernes, hulyo 30, 2021.

moabot sa kapin usa ka gatos ka mga manindahay sa freedom ug warwick barracks ang nakadawat og certificate nga naghatag og kasiguraduhan ug nagpamatuod na sila adunay mga stalls sa interem o temporaryo nga market building nga anaa nahimutang sa unit 2, carbon public market samtang padayon nga nagtukod sa permanente nga pasilidad sa merkado.

ang mga stalls walay bayad og libre nga gihatag ngadto sa mga manindahay gikan sa megawide corporation.

gisiguro sa mod nga mao gihapon ug dili mosaka ang renta sa mga manindahay ug dili mo taas ang presyo sa mga baligya.

atol sa maong kalihokan, usa ka runway show ang gipahigayon aron ipakita sa katawhan ang opisyal nga t-shirt ug apron nga gamiton sa mga manindahay.

gikatakda nga buksan na karong ika-upat nga quarter karong tuiga ang mao nga building.

mitambong sa maong kalihokan silang louie ferrer, cebu2world chairman, mod administrator irvin cabales, konsehal renato ""junjun"" osmeña, konsehal raymond garcia, konsehal jerry guarda, pipila ka mga pangu sa nagkalain-lain nga departamento sa cebu city government, barangay ermita barangay captain mark miral, maria pino, ang presidente sa cebu city united vendors association inc. (ccuva) ug uban pa nga pangu sa mga association sa vendors sa carbon public market.

the cebu city government through market operations division (mod) accompanied by megawide corporation to conduct a turn over and stall awarding ceremony for registered buyers in carbon public market from freedom park and warwick barracks on friday, july 30, 2021.

more than one hundred freedom and warwick barracks residents have received certificate giving assurance and proving that they have stalls in interem or temporary market building available at unit 2, carbon public market while continuing building a permanent facility on the market.

stalls are free of charge and freely handed out to residents from megawide corporation.

the mod ensures that the rent of the residents won't go up the same and the price of the sales won't be high.

during the event, a runway show was held to show the people the official t-shirt and apron for the residents to use.

the same building is set to open in the fourth quarter of this year.

louie ferrer, cebu2world chairman, mod administrator irvin cabales, councilor renato ′′ junjun ′′ osmeña, councilor raymond garcia, councilor jerry guarda, you will line up in different departments in cebu city government, barangay ermita barangay captain mark miral, maria pino, president of cebu city united vendors association inc. (ccuva) and other vendors association at carbon public market."
60,"part 1: press conference of acting mayor mike rama, august 2, 2021."
61,"base sa datos gikan sa cebu city vaccination operations center (voc), moabot na sa 164,256 ang total administered doses sa coronavirus disease 2019 (covid-19) vaccines dinhi sa dakbayan sa sugbo sukad niadtong marso 24, 2021 hangtod hulyo 27, 2021.

based on data from cebu city vaccination operations center (voc), the total administered doses of corona disease 2019 (covid-19) vaccines here in cebu city will be up to 164,256, 2021 to july 27, 2021."
62,"mibisita sa cebu city hall ang pambato sa pilipinas alang sa 2021 tokyo olympics alang sa 64 kilograms category sa weightlifting nga si elreen ann ando karong adlawa, hulyo 13, 2021.

uban kaniya si konsehal dondon hontiveros ug mitimbaya usab si atty. mary rose lubino, ang chief of staff ni mayor edgar labella atol sa pagbisita ni dico kinsa lumad gyod nga taga cebu city."
63,"gipahigayon ang ground breaking ceremony sa southpark residences niadtong biyernes, hulyo 9, 2021 nga nahimutang sa sitio candarong, barangay pulangbato, syudad sa sugbo.

ang southpark residences, usa ka housing project ubos sa government employees housing program sa national housing authority (nha)

usa siya ka medium-rise condominium type housing sa nha nga tukuron 2.1 hectare diin duha ka 10 storey ug usa ka 13 storey residential buildings nga adunay landscape gardens, tree-lined road network,commercial facilities ug community amenities.

atol sa grounbreaking ceremony, ang pinasidunggan dinapit sa nha mao si senador christopher lawrence t. go ug nitambong sab sila si opav sec. michael llyod dino, cebu city councilor raymod garcia maoy representante ni mayor edgar labella, centcom chief roberto ancan, pro-7 director ronnie montejo, ccpo director josefino ligan, lto-7 director victor caindec ug uban pa.

si nha general manager marcellino escalada jr., niingon ang southpark residences dunay budget nga 1.6 billion pesos nga adunay 850 units nga gibana-bana mahuman karung 2023. sakto kini sa gidak-on kay moabot sa 42 square meter floor area.

kini maoy una nga mid-rise building gawas sa metro manila ug ika 27 na ka building sa government housing program nga natukod sa nha sa nagkalain-laing lugar sa luzon ug mindanao ubos sa administrasyon ni presidente rodrigo r. duterte.

si senador go, nibutyag nga nalipay siya nga usa sa mga saad ni presidente duterte natuman gyud nga makakuha baratong balay ang mga sakop sa kasundalohan ug kapulisan.gidugang nga go nga laing saad sa presidente mao ang pagtaas sa sweldo sa kapulisan ug kasundalohan tungod kay dako natabang ug sakripisyo, nibuhis sa ilang kinabuhi batok sa kampanya sa kriminalidad ug kampanya batok sa ginadili nga drogas nga gitawag og ""modern day heroes"" hinungdan angayan lang nga hatagan og desenting panimalay ang mga kasundalohan ug kapulisan.

matud ni escalada 850 ka units, 35 porsiyento niini gitagana nga units sa mga sakop sa armed forces of the philippines (afp) 35 porsiyente sa philippine national police (pnp) 20 porsiyente sa mga empleyado sa cebu city government ug ubang lgus sa probinsya sa sugbo, samtang 10 porsiyento sa mga sakop sa philippine coastguard, bureau of jail managamenet and penology (bjmp) ug overseaes filipino workers.

gidugang ni escalada si presidente duterte naghatag og 100,000 subsidy nga ihatag sa mga sundalo ug kapulisan nga mo apply nga mokuha unit sa southpark diin moabot sa p1.9 milyon ngadto sa p2 milyon ang kantidad sa matag units niini."
64,"sa kinatibuk-an buwan sa hulyokarong tuiga, ang cebu city transportation office (ccto) naka-issue og 9,646 ka traffic citation ticket (tct) sa mga traffic violators dinhi sa dakbayan sa sugbo gumikan sa kalapasan sa lagda sa trapiko.

naka-impound usab ang ccto 284 ka motorsiklo, 10 ka e-bike, 1 ka truck, 3 ka private, 1 ka trailer og sagad sa violators mao ang walay na presentar nga rehistro og lisensya uban pa."
65,"nipahigayon og dungan nga operayon ang philippine drug enforcement agency (pdea) central visayas, cebu city police office, regional mobile force battalion 7 ug philippine navy huwebes, hulyo 29,2021 sa barangay calamba, syudad sa sugbo batok sa mga gidudahang namaligya ug mogamit og illegal nga drugas.

dul-an sa 10 ang nadakpan sa dungan nga operasyon nga gibase sa 10 ka search warrant nga giisyu sa korte.

nasakmit ang 2.96 grams shabu nga gibana-bana mokabat sa kapin p2 milyones ang kantidad nga nasakmit sa mga operatiba.

ang maong operasyon adunay koordinasyon sa pangulo sa cebu city office for substance abuse and prevention (cosap) head jonah john rodriguez kinsa maoy nag-umol sa programa sa community-based drug rehab program ubos sa buhatan ni mayor edgar labella.

human sa maong operasyon, ang pnp, pdea, cosap ug barangay officials sa calamba nipatawag sa pipila ka mga residente naa sa listahan nga gidudahang tig-gamitan sa ginadiling drugas aron ipailawom sila sa programa sa cosap.

gipaabot ang 100 ka drug users ang mapaubos sa maong programa sa cosap apan ang nakahistro miabot lang dul-an 60 ka mga tawo.

si rodriguez miingon nga sa 80 ka barangay sa syudad sa sugbo, duha nalang ka barangay ang wala makaapil sa community-based drug rehab program ug usa niini ang barangay calamba."
66,"nakuha sa cebu city government ang “unmodified opinion” sa annual audit alang sa tuig 2020 nga gihimo sa commission on audit (coa).

kini maoy unang higayon nga nakuha sa cebu city government ang maong rating nga gihulagway nga maoy pinaka-maayo nga rating gikan sa coa. ang “unmodified opinion” nga rating sa coa nagpasabot nga maayo pagkadala ang pinansyal nga aspeto sa syudad.

si mayor edgar labellamihangop sa maong kalambuan.

cebu city government got the ′′ unmodified opinion ′′ in the annual audit for the year 2020 created by the commission on audit (coa).

this is the first time the cebu city government got this rating that is described as the best rating from coa. coa's ′′ unmodified opinion ′′ rating means the financial aspect of the city is well brought.

mayor edgar labellamihangop in that luxury.

edgar labella
july 8 at 4:56 pm ·

i am happy to announce that for the first time ever, since its charter in 1937, cebu city has received an unmodified opinion from the commission on audit (coa) for our financial transactions for the year 2020.

kini maoy unang higayon nga nakuha sa cebu city government ang maong rating nga gihulagway nga maoy pinaka-maayo nga rating gikan sa coa. ang “unmodified opinion” nga rating sa coa nagpasabot nga maayo pagkadala ang pinansyal nga aspeto sa syudad.

akong gihangop ang maong kalambuan ug nalipay ko nga in my first term of office as mayor, nakuha kini nato nga rating bisan pa man nga padayon ang atong pakigbatok sa pandemya.

in its annual audit report (aar), coa said the city’s financial statements “present fairly, in all material respects,” the financial position and its financial performance, its cash flows, and its comparison of budget and actual amounts for the year then ended in accordance with international public sector accounting standards (ipsas).

kini nagpasabot nga ang pag-gasto sa syudad sa kwarta sa katawhan nahisubay sa mga lagda sa balaod ang pag-gasto sa kwarta sa syudad agig pagtuman sa ipsas.

“we believe that the audit evidence we have obtained is sufficient and appropriate to provide a basis for our unmodified opinion,” tipik sa coa report.

gipahalipayan usab sa coa ang cebu city accounting office tungod sa sayo nga pag-sumitir niini sa financial statement sa syudad niadtong pebrero 11, 2021.

bisan pa man sa giatubang nga problema sa covid-19, the cebu city government showed an increase in its assets and liabilities, including both in its income and expenses, and in its appropriation, allotment, and actual obligations.

nasuta usab sa coa nga nakahuman ang city government og 16 ka mga infrastructure projects ug dunay 13 nga nagpadayong mga proyekto nga mobalor ngadto sa p242, 287, 497.67.

ang maong mga proyekto naglangkob sa pagpalambo sa kadalanan ug mga drainage system sa nagkadaiyang barangay, pagtukod ug pagpalambo sa mga eskwelahan, multipurpose buildings, evacuation centers, hospital ug dormitory, ug pagbutang sa digital traffic system, ug uban pa.

ang coa mopagawas og tinuig nga pag-audit sa mga government offices sama sa cebu city government aron pagsiguro sa transparency ug accountability sa matag buhatan agig pagtuman sa international standards of supreme audit institutions (issai), authoritative international standards on the public sector.

mapasalamaton usab ako atong mga department heads nga naningkamot ug gigamit og sakto ang kwarta sa syudad sa mga proyekto, programa ug serbisyo alang sa katawhan sa syudad."
67,"cebu city public information office added a new photo.
july 12 at 5:30 pm ·
more options

base sa datos gikan sa cebu city vaccination operations center (voc), moabot na sa 123,851 ang total administered doses sa coronavirus disease 2019 (covid-19) vaccines dinhi sa dakbayan sa sugbo gikan niadtong marso 24, 2021 hangtod hulyo 12, 2021.

ang cebu city government aduna nay unom ka vaccination sites nga anaa mahimutang sa university of cebu senior high school department sa barangay banilad, university of cebu senior high school campus sa j. alcantara st., robinsons galleria, sm seaside city cebu, noah complex, ug ang bag-o nga abli nga vaccination site nga anaa mahimutang sa ayala center cebu.

padayon gihapon ang pagpahigayon og pagpamakuna sa mga residente dinhi sa dakbayan sa sugbo sa tanan nga vaccination sites.

based on data from cebu city vaccination operations center (voc), the total administered doses of corona disease 2019 (covid-19) vaccines here in cebu city will be up to 123,851, 2021 to july 12, 2021.

cebu city government already has six vaccination sites available at the university of cebu senior high school department of barangay banilad, university of cebu senior high school campus in j. alcantara st., robinsons galleria, sm seaside city cebu, noah complex, and the new open vaccination site available at ayala center cebu.

vaccination of residents here in cebu city is still ongoing on all vaccination sites."
68,"giawhag sa cebu city transportation office (ccto) ang mga tag-iya sa 55 ka sakyanan nga na-clamp nunot sa kalapasan sa night illegal parking atol sa ilang gihimo nga operasyon gikan sa tungang gabii hangtud na sa kabuntagon sa adlaw'ng miyerkules, hulyo 28, 2021.

matod sa ccto nga padayon nilang gi-implementar ang ordinansa sa syudad dili lang tungod sa daghang reklamong nadawat sa ilang buhatan apan aron usab magamit ang lugar panahon nga adunay mga emerhensya nga motumaw panahon sa gabii ug kadlawon.

atol sa operasyon sa ccto 9 ka barangay ang gisusi hinungdan nga miabot sa 55 ka sakyanan ang ilang na-clamp.

awhag sa ccto sa mga tag-iya sa sakyanan nga na-clamp sa pag-settle sa ilang violation sa buhatan sa traffic group sa may 2nd floor, ramos public market nga abli gikan sa 8:00 sa buntag hangtod sa 5:00 sa hapon.

lugar sa na clampan:

📍sambag 2 (assencion st.)
📍labangon ( salvador st., bliss, casamira, sun valley)
📍tisa (san lorenzo, naya)
📍punta princesa (cabarrubias)
📍kinasang.an (rainbow, acasia)
📍bulacao pardo ( st. jude)
📍mambaling (gochan st. st. bernard)
📍tres de abril (atillo)"
69,"president rodrigo roa duterte delivers his 6th and final state of the nation address (sona) at the joint session of the 18th congress (third regular session) on july 26, 2021.

the chief executive fulfills his annual constitutional obligation amid the global health crisis brought by the coronavirus disease 2019 (covid-19). several time-honored practices and protocols usually observed in the sona have been modified to ensure the safety of all the invited guests in the house of representatives.

#dutertesona2021
#tatagatmalasakit
#dutertelegacy
#healasone
#comfortablelifeforall
#partnerforchange"
70,"gituman ni cebu city mayor edgar labella ang iyang saad sa mga medical frontliners nga gipadala sa ncr plus human nila madawat ang ilang tag p30,000 nga allowance gikan sa city government.

cebu city mayor edgar labella fulfilled his promise to medical frontliners sent to ncr plus after they received their tag of p30, 000 allowance from the city government."
71,"nagpasalamat ang department of public works and highways (dpwh) 7 kang cebu city mayor edgar labella sa hugot nga pagsuporta niini sa metro cebu bike lane project pinaagi sa pagtagana og mga dalan sa syudad alang sa bike lane.

si atty. gerry carrillo, ang chairman sa cebu city bike lane board, maoy mirepresentar ug midawat sa pasidungog atol sa pormal nga pagbukas sa metro cebu bike lane network project nga gipahigayon sa south road property (srp) biyernes, hulyo 16, 2021.

ang maong proyekto nga metro cebu bike lane may gitas-on nga 129.66km sa upat ka lokasyon sa metro cebu nga naglangkob sa mandaue, lapulapu ug talisay ubos sa mandato sa republic act no. 11494 or the bayanihan to recover as one act.

nitambong inagurasyon mao si dpwh secretary mark villar, atty. mark steven pastor, dotr asec for road transport and infrastracture, ltfrb-7 director eduardo montealto jr, lto-7 director victor caindec, ug uban pa.

nahuman ang maong proyekto niadtong hunyo 30, 2021 sukad gisugdan sa pagtrabaho wala ka buwan ang nakalabay ug karon hingpit na mapahimuslan sa mga bikers ang bike lane nga nag promote sa healthy lifestyle ug clean environment karon anaa na kita sa new normal.

nanghinaut ang dotr makabenepisyo sa bike lane ang tanang mga siklista sa pagtindak nila sa pedal matag adlaw uban sa panghinaut nga sa kanunay dili kalimtan ang pag-amping diha sa kadalanan."
72,"ang animal health division sa department of veterinary medicine and fisheries sa cebu city government mopadangat na sad sa ilang services ngadto sa pipila ka mga barangay sa syudad sugod miyerkules, hulyo 21, 2021.

alang sa dugang mga pangutana mamahimong motawag sa 401-0418."
73,"kapin 600 ka mga vendors ang nakabalik na sa pagpaninda sa mga sidewalk dinhi sa dakbayan sa sugbo human gimando ang paghawan niadtong tuig 2019 sa department of interior and local government (dilg) ubos sa kamandoan ni presidente rodrigo duterte.

ang gibuhat sa city government ubos sa administrasyon ni mayor labella gikalipay og maayo sa mga vendors nga nakabalik na sila sa pagpaninda nga maoy gikuhaan nila sa tanan nga panginahanglan sa inadlaw-adlaw para sa ilang pamilya.

more than 600 vendors have returned to selling sidewalks here in cebu city after the clearance was ordered in 2019 by the department of interior and local government (dilg) under the rule of president rodrigo duterte.

what the city government has done under mayor labella's administration is very happy to the vendors that they are back in the sales that they have taken all the daily needs for their families."
74,"moabot sa 50 ka sakyanan ang na-clamp sa cebu city transportation office (ccto) kagabii, hulyo 13, 2021 tungod sa kalapasan sa city ordinance 2004 o pagpataka og parking panahon sa kagabhi.on.

pipila ka mga reklamo ang nadawat sa ccto hinongdan nga daling mi-aksyon ang maong buhatan.

lakip sa mga lugar kun diin gipahigayon ang operation sa ccto mao ang:

tisa -(deca,mohon,tabay lawom,torquise st.,jade st.,ruby st.silver st.,gold st diha sa rivaridge);

salvador st. (casa mera);

banawa (horse shoe drive); ug

guadalupe (modesta, buena hills sa saphire og emerald st.)"
75,"gipahibalo sa department of veterinary medicine and fisheries (dvmf) sa cebu city government nga padayon gihapon ang ilang pagmonitor sa mga kamerkadohan sa syudad alang niadtong wala motuman sa department of agriculture section 3, a.o. no. 5 nga nagmando sa pagbaligya og limpyo ug luwas nga karne.

kinahanglan nga ang mga namaligya og karne dunay meat inspection certificate.

tumong niini nga masiguro nga limpyo ug luwas ang karne nga kan-on sa katawhan.

the department of veterinary medicine and fisheries (dvmf) of cebu city government has announced that they are still monitoring the city's cameras for those who do not obey the department of agriculture section 3, a.o. no. 5 ordered to sell clean and safe meat.

those who sell meat need meat inspection certificate.

it aims to ensure that the meat that the people eat is clean and safe."
76,"nagpahigayon og basic training ug orientation ang nursing coordinator sa cebu city medical center nursing service department ug infection control and prevention team kauban ang clinical instructors sa cebu technological university (ctu)-ccmc college of nursing sa mga nurses kabahin sa coronavirus disease 2019 (covid-19) protocol, propper donning ug doffing sa personal protective equipment (ppe) ug hand hygiene.

gipahigayon ang maong training isip pagpangandam sa pagbalik sa mga nursing students’ clinical duty sa ccmc."
77,"sayo karong buntag, hulyo 19, 2021, daling gi-respondihan sa mga tinugyanan sa cebu city disaster risk reduction management office ang aksidenti sa barangay busay human mibangga ang usa ka toyota avanza sa usa ka balay.

kon adunay mga emerhensya sa inyong lugar, tawag dayon sa cebu city emergency hotline pinaagi niini nga mga numbers:

landline: 166/262-1424
cellphone: 0932-537-7770, 0947-178-0000, 09471789999, 09178399896 & 09235248222"
78,"eucharistic celebration for the organizational session of the cebu city council, wednesday, july 7, 2021."
79,"unsay mga requirements alang sa pagkuha og tax declaration?

basaha ang mga requirements sa pagkuha og tax declaration kon ang imong real property bag-o pa lang kun new property nga naa sa cebu city. adto kini kuhaon sa cebu city assessor's office nga naa mahimutang sa 4th floor, executive building sa cebu city hall."
80,"alang sa mga cebu city residents ug smart and sun cellular subscribers nga buot nga makadawat og text updates sa mga programa ug uban pang updates sa cebu city government, ang smart communications mitanyag sa cebu city government og dugang pamaagi aron mas mapaabot pa ang mga opisyal nga announcement sa syudad ngadto sa katawhan.

giawhag lang ang mga buot makadawat og updates sa pag fill out niini nga form.

docs.google.com
contact information"
81,"sa labing unang higayon, cebu city government ubos sa administrasyon ni mayor edgar labella nakadawat og unmodified opinion sa audit sa coa sa tuig 2020."
82,post graduate interns batch 2020-2021 graduation ceremony (batch invictus)
83,"gikan sa hulyo 1-15 karong tuiga, ang cebu city transportation office (ccto) miabot sa 4,233 ang naisyuhan og traffic citation ticket (tct) nga nakalapas sa lagda sa tapiko dinhi sa dakbayan sa sugbo.

gawas niini, naka-impound sab ang ccto og 309 ka motorsiklo, 16 ka pribado nga sakyanan, 7 ka trisikol, 65 ka e-bike, 1 ka taxi ug naka-clamp og 354 ka sakyanan.

sagad kanila nag-maniho nga wala marehistro ang sakyanan og walay mga lisensya ug nagpataka og parking ug uban pa.

from july 1-15 this year, the cebu city transportation office (ccto) reached 4,233 the traffic citation ticket (tct) that violated the tapiko rules here in cebu city.

aside from this, ccto also impounded 309 motorcycles, 16 private cars, 7 trisikols, 65 e-bikes, 1 taxis and clamped 354 cars.

as they say the car is not registered without licenses and is putting parking etc."
84,"press release
july 15, 2021

coa renders highest audit rating to cebu city despite audit observations

despite a number of audit observations cited by the commission on audit (coa), cebu city still received the highest audit rating from the agency.

the unmodified opinion rendered by coa on cebu city’s financial statements for 2020 is proof that the audit observations were, in fact, already satisfactorily remedied and answered by the city government.

city administrator floro casas, jr. explained that the audit observations made by coa serve to guide the city government in its future operations.

“we welcome those observations. these recommendations are good because these will also guide us in the future transactions of the city. we will surely implement those recommendations,” he said.

to recall, the coa, in its annual audit report, gave an “unmodified opinion” on cebu city’s financial transactions for the year 2020. this meant that coa is acknowledging the proactive stance taken by the cebu city lgu in its efforts to mitigate the effects of the covid-19 pandemic on its constituency.

this is the first time, since its charter in 1937, that cebu city received an unmodified opinion from coa, which proves that the city’s financial statements present fairly its financial position, free from any material misstatements.

this means transactions involving public funds were above board despite the very difficult situation the city government faced in responding to emergencies in the early stages of the pandemic.

some critics raised issues on cebu city’s audit rating, saying that the coa still cited discrepancies in the city’s transactions in its report.

however, the office of the city accountant explained that the fact that the coa still rendered an unmodified opinion to cebu city shows that the city government were able to significantly address these concerns.

as a matter of fact, coa said in its report, “we believe that the audit evidence we have obtained is sufficient and appropriate to provide a basis for our unmodified opinion.”

coa state auditor v maria daisy bercede noted in an independent auditor's report sent to mayor edgardo labella that “the city’s financial statements present fairly, in all material respects, the financial position of the city of cebu as of december 31, 2020, and its financial performance, its cash flows, and its comparison of budget and actual amounts for the year then ended in accordance with international public sector accounting standards (ipsas).”

this affirms the city government’s efforts of providing the best service to its constituents while upholding the highest standards of transparency, accountability, and good governance.

coa’s issuance of an audit observation memorandum (aom) is an exercise of their constitutional power, authority, and duty to audit, examine and settle government funds.

an aom is a preliminary audit tool designed to prevent irregular disbursement of government funds. it is clarificatory in nature, allowing the agency head to explain and/or justify its actions.

the issuance of aoms does not, in any way, prevent coa from still rendering a favorable audit opinion on the financial transactions of an agency.

the current cebu city lgu administration under the leadership of mayor edgardo c. labella has proven that it can be the best even during the worst of times."
85,"president rodrigo roa duterte leads the oath-taking of the newly elected officers and members of the partido demokratiko pilipino – lakas ng bayan (pdp-laban), as well as the renewal of oath of former members, as he graces the pdp-laban’s national assembly on july 17, 2021.

the president, who is also the party chairman, addresses the attendees in today’s national assembly who have joined physically at the royce hotel in clark freeport zone, pampanga and via virtual convention.

#healasone
#dutertelegacy
#comfortablelifeforall
#partnerforchange"
86,"mokabat sa 200 ka punoan sa guyabano ang natanom sa mga sakop sa ""house of i.t."" volunteers nga mipahigayon ug tree planting inabagan sa cebu city environment and natural resources (ccenro) sa sitio madre de cacaoan, barangay adlaon, bukirang bahin sa cebu city.

ang buhatan sa ccenro miawhag sa mga nagkalain-laing grupo nga buot mag-tree planting sa pag-coordinate sa ilang buhatan pinaagi sa pag-contact niini nga mga numero:

globe - 0977-3681-034 (jay bacalso)
smart - 0945-1861-103 (regie billones)

more than 200 guysabano trees were planted by the members of ′′ house of i. t."" volunteers who conducted tree planting in cebu city environment and natural resources (ccenro) in sitio madre de cacaoan, barangay adlaon, bukirang part of cebu city.

ccenro department urges different groups to do tree planting to coordinate their work by contacting these numbers:

globe - 0977-3681-034 (jay bacalso)
smart-0945-1861-103 (regie billions)"
87,"nagkataas ang record sa panagbangga sa mga sakyanan dinhi sa dakbayan sa sugbo.

base sa talaan sa cebu city transportation office (ccto) nga sud lang sa usa ka adlaw niadtong adlaw’ng martes, hulyo 27, 2021, miabot na sa 20 kaso sa panagbangga sa mga sakyanan dinhi sa siyudad.

subay niini, ang ccto nipahimangnu sa mga motorista nga mag-amping ug magbinantayon kanunay sa pagmaneho sa ilang sakyanan diha sa kadalanan.

karon nga nagkataas ang kaso sa covid-19 sa siyudad, limitado na kaayo ang mga ambulansya mao nga hangyo sa ccto nga magtinabangay tang tanan aron malikay sa disgrasya.

records of car crash in cebu city are increasing.

based on the record of cebu city transportation office (cctvo) that in just one day on tuesday, july 27, 2021, there have been 20 cases of car collision in the city.

according to this, ccto has asked motorists to be careful and always vigilant when driving their cars on the streets.

now that covid-19 cases are rising in the city, ambulances are already very limited so ccto requests that we all work together to avoid the accident."
88,"agig tubag sa hangyo sa mga molopyo sa lugar, gihuman na og trabaho sa mga tinugyanan sa department of engineering and public works sa cebu city government ang concrete canal diha sa sitio obos poso, cabreros st., barangay basak san nicolas nga may gitas-on nga 2 ka metros ug 1 ka metro usab ang gilapdon.

gilauman nga makahatag kini ug kaluag sa baradong agianan sa tubig diha sa kanal. ang motorista ug mangagi dili na mahasol pa atol sa panahon sa ting-ulan."
89,"gipahimangnuan ni cebu city mayor edgar labella nga di mo-kompyansa ug padayon nga sundon ang mga health protocol sanglit padayon pa gihapon ang pakigbatok sa covid-19.

edgar labella
july 12 at 3:12 pm ·

my dear fellow cebuanos,

with your help and cooperation, padayon natong ma-mitigate ang covid-19 transmission sa atong dakbayan together with the efforts of the cebu city emergency operations center (eoc).

the eoc has continued contact tracing, mass testing, and isolating covid-positive patients all this time samtang ongoing ang atong vaccination program alang sa mga sugbuanon.

our cebu city quarantine center, barangay isolation centers (bics), and quarantine hotels also remain active and on standby even if they have not reached full capacity, aron magpabilin kitang andam throughout the rise and fall of covid-positive cases."
90,ika-unom nga vaccination site sa cebu city government gibuksan na sa ayala center cebu.
91,"ang cebu city transportation office (ccto) padayong nagpahinumdom sa mga drivers bahin sa city ordinance 2452 kon ang balaod nga nagpatuman og truck ban sa syudad nga gidili gihapon ang mga truck nga dunay gibug-atong nga 6,500 kilogram pataas nga motadlas sa kadalanan gikan sa 6:30 sa buntag hangtod 8:00 sa buntag ug alas 4:00 sa hapon hangtod alas 7:00 sa gabii.

cebu city transportation office (ccto) continues to remind drivers about city ordinance 2452 if the law that implemented a truck ban in the city is still not the trucks weighing 6,500 kilograms and upward that will endure the city streets from 6:30 am to 8:00 am and 4:00 pm to 7:00 pm."
92,"how to manage anxiety and isolation

join us live on sotto live mental health check as we talk about “how to manage anxiety and isolation” with our guest expert, dr. frederick p. tampus from the vsmmc center for behavioral sciences, together with dr. helen valenzona madamba and mr. pierre jabagat.

#mentalhealthcheck
#sottobrandofcare
#sottosharedidentity"
