,post
65,"while community quarantine exists in the city, our council does not stop helping our qcitizens.

councilor mikey belmonte and mbm volunteers personally visited leyte st. brgy. payatas, vine hoa litex rd. brgy. commonwealth, ngc center sigla health center and land promise health center to distribute rice aid, delicious spaghetti and medicines for children.

led by coun. eric medina, naturn-over the school marker “i💚bes”, automatic alcohol dispenser and temperature scanner at bonifacio elementary school, with the help of brgy. balonbato kap. irene gonzales creator, council and principal mrs. nymph piñera.

councilor jun ferrer and kagawad charm ferrer distributed food packs to members of toda sa bago bantay, frontliners dpos and to residents in special concern areas in barangay salvacion including kgd. cecille brillo, kgd. sarah bernardino and sk chairman jhon adrian ramos and kap. danny soriano and council.

coun shared. tj calalay of food packs to the residents of brgy. manresa, brgy. san isidro labrador, brgy. bahay toro, brgy. project 6 at brgy. vasra in the special concern lockdown area (scla) with the help of kap. bong tambis, cap. lito sahagun, admin jobert hidalgo, and kgd. chiqui alcala, chap. dennis caboboy, kgd. ofel meimban, kgd cecil agcaoili, g. alvin ostare, kgd ding antenor, bpso and bhert, while essential hygiene kits and food packs are for pwds of brgy. alicia at brgy. house bull with the help of their pwd organization and president christian lintag, kap. rico corro, chap. honie llamas, chap. bobby fortunato, kgd. gusting pataueg at sec. baby."
66,"the quezon city government has admitted 82 police officers from station 3 in talipapa, novaliches that tested positive for covid-19 to the city’s hope facilities.

the police officers were tested on friday, july 23, as part of the city government’s program to conduct free routine testing of its frontliners who are often exposed and at high risk of acquiring the virus.

quezoncity.gov.ph
qc govt places 82 cops in its hope facility | quezon city government"
67,"councilor irene belmonte led the first 1000 days fighting malnutrition, with the help of the social service development department and mayor joy belmonte, through pantry distribution to parents of day care centers in barangay central while she and coun shared. vincent belmonte of food packs and hygiene kits in the scl areas of the barangays, in collaboration with captain rodel lobo and tatalon council and captain eddie nieto and barangay santol council.

coun also walked around. ram medalla to distribute food packs to 200 flood -affected families in florentina st, kawayan., sta. isabel st., at san martin st., brgy. gulod, with kap. rey aldrin tolentino, kgd. allan gonzales, kgd. cheche acle, at kgd. val castelltort.

coun went around. wency lagumbay, along with councilors from brgy. bagumbayan, to distribute covid-19 kits to residents living next to the marikina river and food in pajo st., barangay quirino 2a, with us are councilor ben busi and councilor marian garlit.

thanks to our local government for their help and service to our qcitizens!"
68,"our local government's priority is to help keep construction workers and employees of city establishments safe and #qcprotektodo.

in our partnership with construction companies such as megawide corporation and philippine constructors association inc., we have been able to vaccinate workers belonging to the a4 priority group.

the city had previously opened business registration for covid-19 vaccination for businesses or establishments with at least 100 employees, its own medical team, and vaccination site.

for qc business owners who want to register, just visit: https://qcprotektodo.ph/business-registration-form/"
69,"as part of its target to vaccinate 1.7 million individuals, the quezon city government specifically allotted its first johnson and johnson’s janssen vaccine supply to the senior citizens of district 2 in a one-day rollout in the district.

out of the six districts, district 2 is the most densely populated, composed of five barangays with a population of 738,000, according to the latest data of the philippine statistics authority.

quezoncity.gov.ph
qc gov administers limited j&j vaccines to district 2 senior citizens | quezon city government"
70,"many thanks to the 124th philippine air force army reserve unit led by lt. col. jun llave, with the tzu chi medical foundation who served as volunteers in our #qcprotektodo vaccination program at the araneta coliseum mega vaccination site.

the air force officers also promised that they would return to help with our vaccination program.

it's a big thing to properly and quickly vaccinate our qcitizens in the city."
71,"up to 1,376,375 doses of the vaccine have been injected by our #qcprotektodo vaccination program with the help of our healthcare workers, staff and volunteers!

in total, 863,755 or 50.81% of the 1.7 million target population have been vaccinated with the first dose in our city despite the limited supply of the vaccine. this is a big deal especially now with the delta variant.

up to 512,620 or 30.50% have already received their second dose.

qcitizens are encouraged to register with qc vax easy to receive a vaccination schedule. those given the schedule are in accordance with the first in, first out system or priority to vaccinate those who have previously registered, still depending on the supply of vaccine arriving in the city. just visit: https://qceservices.quezoncity.gov.ph/qcvaxeasy

watch for other announcements here on our facebook page or visit https://qcprotektodo.ph for other details of our vaccination program."
72,"our local government continues to serve to help our frontliners and qcitizens in need despite the ongoing pandemic.

free champorado breakfast was offered by councilor jun ferrer and councilor charm ferrer to the frontliners assigned to toro hills elementary school, members of tupad and to the barangay katipunan led by captain julious secillano, kgd. ethao legua, kgd. ambet baral, sk chairman gary salas curameng and council.

coun went. mikey belmonte and the mbm volunteers in brgy. commonwealth, batasan hills kalayaan c nagsakan hoa, at brgy. holy spirit to distribute rice, soup and medicines from mercury drugstore for residents.

coun shared. wency lagumbay of food packs for the residents of barangay matandang balara with barangay councilors marlyn diche, bhong pamplona and benjie reyes."
73,"mayor joy belmonte visited some of the city's evacuation centers, such as those in barangay bagong silangan, fairview, gulod, pasong tamo, apolonio samson, roxas, tatalon, and doña imelda to deliver relief goods and find out the condition of the affected residents caused by typhoon #fabianph. he also provided wheelchairs to some evacuees who had difficulty walking.

also ensured that evacuees were properly accommodated and that minimum health protocols were still followed.

in addition to food packs, water, canned goods, and medicine, hot meals were also distributed for those temporarily staying here."
74,"our local government’s program for our qcitizens is in disarray despite the heavy rains.

councilor mikey belmonte, team mb and mbm volunteers in brgy. commonwealth, brgy. holy spirit at brgy. legislature hills to distribute rice packs and delicious spaghetti and soup for our district mates.

grocery packs were distributed by coun. candy medina with evacuees at new east highschool.

coun shared. tj calalay of food packs to more than 80 families affected by the recent floods in brgy. sta. cruz, women's relationship partner and pres.gloria tabocolde, g. nick diaz, kgd liza soriano, kgd marie barte at brgy. staff."
75,"15 areas in our city are under special concern lockdown areas due to the increasing number of covid-19 cases.

only specific areas are covered by the scla and not the entire barangay.

the local government will distribute food packs and essential kits for the affected families and they will undergo swab testing and mandatory 14-day quarantine."
76,"25 areas in our city are under special concern lockdown areas due to the increasing number of covid-19 cases.

only specific areas are covered by the scla and not the entire barangay.

the local government will distribute food packs and essential kits for the affected families and they will undergo swab testing and mandatory 14-day quarantine."
77,"no storm or pandemic can stop the duty of our local government to serve our qcitizens.

councilor lala sotto visited other barangays to distribute hygiene kits for the safety and protection of residents.

councilor mikey belmonte went to various evacuation sites in brgy. new east to provide relief goods to more than 2,000 families evacuated due to the southwest from clemencia, kalinga grants, greenland, tumana, red rock island, bonded, sunrise, calamiong, jubilee phase 1 and phase 2, diamondville, new horizon, bona, pocolari, success, humanity, trace, usna, and area 6 veterans.

Councilor Jun Ferrer stressed in his speech the importance of healthworkers, frontliners and volunteers in this time of pandemic who can be considered heroes and also praised the good management of Mayor Joy Belmonte in the city's vaccination sites."
78,"up to 1,309,992 doses of the vaccine have been injected by our #qcprotektodo vaccination program with the help of our healthcare workers, staff and volunteers!

in total, 825,998 or 48.59% of the 1.7 million target population have been vaccinated with the first dose in our city despite the limited supply of the vaccine. this is a big deal especially now with the delta variant.

up to 483,994 or 28.47% have already received their second dose.

qcitizens are encouraged to register with qc vax easy to receive a vaccination schedule. those given the schedule are in accordance with the first in, first out system or priority to vaccinate those who have previously registered, still depending on the supply of vaccine arriving in the city. just visit: https://qceservices.quezoncity.gov.ph/qcvaxeasy

watch for other announcements here on our facebook page or visit https://qcprotektodo.ph for other details of our vaccination program."
79,"our local government is still providing assistance for our qcitizens.

coun went round. marra suntay to distribute grocery packs for those in home quarantine in brgy. up campus at botocan.

councilor irene belmonte and councilor vincent belmonte redistributed food packs and hygiene kits to families whose trees fell on blk.4 pook arboretum barangay up campus in collaboration with kap. zeny reading, kgd. danny arceo, kgd. caloy francisco at place coordinator in lecerna.

coun has an offer of help packs. kate coseteng in the flooded area of ​​evangelista st. brgy success and grocery packs in brgy. abundant by kap. perla daniega."
80,"happening now: in commemoration of the 77th death anniversary of pres. manuel l. quezon, the quezon city government and the national historical commission of the philippines host a holy mass presided by fr. junel pedroso of sto. domingo church."
81,"the quezon city government has started vaccinating the employees of its many bpo companies.

about 5,500 workers from the information technology and business process management (it-bpm) industry will receive their first vaccine jabs, further expanding the #qcprotektodo program.

quezoncity.gov.ph
qc inoculates 5,500 bpo workers | quezon city government"
82,"24 areas in our city are under special concern lockdown areas due to the increasing number of covid-19 cases.

only specific areas are covered by the scla and not the entire barangay.

the local government will distribute food packs and essential kits for the affected families and they will undergo swab testing and mandatory 14-day quarantine."
83,"Our #qcprotektodo vaccination program has injected up to 1,612,773 doses of the vaccine with the help of our healthcare workers, staff and volunteers!

in total, 1,015,256 or 59.72% of the 1.7 million target population have been vaccinated with the first dose in our city despite the limited supply of the vaccine. this is a big deal especially now with the delta variant.

up to 597,517 or 37.17% have already received their second dose.

qcitizens are encouraged to register with qc vax easy to receive a vaccination schedule. those given the schedule are in accordance with the first in, first out system or priority to vaccinate those who have previously registered, still depending on the supply of vaccine arriving in the city. just visit: https://qceservices.quezoncity.gov.ph/qcvaxeasy

watch for other announcements here on our facebook page or visit https://qcprotektodo.ph for other details of our vaccination program."
84,"up to 1,279,196 doses of the vaccine have been injected by our #qcprotektodo vaccination program with the help of our healthcare workers, staff and volunteers!

in total, 795,889 or 46.82% of the 1.7 million target population have been vaccinated with the first dose in our city despite the limited supply of the vaccine. this is a big deal especially now with the delta variant.

up to 483,307 or 28.43% have already received their second dose.

qcitizens are encouraged to register with qc vax easy to receive a vaccination schedule. those given the schedule are in accordance with the first in, first out system or priority to vaccinate those who have previously registered, still depending on the supply of vaccine arriving in the city. just visit: https://qceservices.quezoncity.gov.ph/qcvaxeasy

watch for other announcements here on our facebook page or visit https://qcprotektodo.ph for other details of our vaccination program."
85,"as of 11am today, up to 1,311,944 doses of vaccine have been injected by our #qcprotektodo vaccination program with the help of our healthcare workers, staff and volunteers!

in total, 827,949 or 48.70% of the 1.7 million target population have been vaccinated with the first dose in our city despite the limited supply of the vaccine. this is a big deal especially now with the delta variant.

up to 483,995 or 28.47% have already received their second dose.

qcitizens are encouraged to register with qc vax easy to receive a vaccination schedule. those given the schedule are in accordance with the first in, first out system or priority to vaccinate those who have previously registered, still depending on the supply of vaccine arriving in the city. just visit: https://qceservices.quezoncity.gov.ph/qcvaxeasy

watch for other announcements here on our facebook page or visit https://qcprotektodo.ph for other details of our vaccination program."
86,"up to 1,343,586 doses of the vaccine have been injected by our #qcprotektodo vaccination program with the help of our healthcare workers, staff and volunteers!

in total, 847,419 or 49.85% of the 1.7 million target population have been vaccinated with the first dose in our city despite the limited supply of the vaccine. this is a big deal especially now with the delta variant.

up to 496,167 or 29.19% have already received their second dose.

qcitizens are encouraged to register with qc vax easy to receive a vaccination schedule. those given the schedule are in accordance with the first in, first out system or priority to vaccinate those who have previously registered, still depending on the supply of vaccine arriving in the city. just visit: https://qceservices.quezoncity.gov.ph/qcvaxeasy

watch for other announcements here on our facebook page or visit https://qcprotektodo.ph for other details of our vaccination program."
87,"17 areas in our city are under special concern lockdown areas due to the increasing number of covid-19 cases.

only specific areas are covered by the scla and not the entire barangay.

the local government will distribute food packs and essential kits for the affected families and they will undergo swab testing and mandatory 14-day quarantine."
88,"20 areas in our city are under special concern lockdown areas due to the increasing number of covid-19 cases.

only specific areas are covered by the scla and not the entire barangay.

the local government will distribute food packs and essential kits for the affected families and they will undergo swab testing and mandatory 14-day quarantine."
89,"the quezon city public library is temporarily closed for all our qcitizens in compliance with the general community quarantine enforced in the city. all qcpl online appointments were also canceled first.

thank you for your understanding.

quezon city public library
July 30 at 2:15 pm · facebook for android ·"
90,"the quezon city health department and bureau of jail management and penology quezon city conducted vaccinations for women persons deprived of liberty (pdls) in the qc female dormitory of camp karingal.

up to 595 women are #qcprotektodo against the threat of covid-19 and delta variants.

it is part of the local government's no woman left behind program that aims to help the well -being, care and education of women in prison."
91,"to further promote the development of urban agriculture in both pyeongchang county, republic of korea, and quezon city including its component barangay batasan hills, a memorandum of understanding (mou) was signed with the representatives of pyeongchang county, fhilcon international inc., and mayor joy belmonte together with brgy. batasan hills captain john abad.

through the initiative of fhilcon international inc., both parties have agreed on various exchange and cooperation projects to improve agricultural competitiveness and increase residents' income based on the principles of mutual trust and equality.

the local government looks forward to this partnership with pyeongchang county as it advances the welfare of residents in both cities."
92,"watch: dr. tom frieden, president and ceo of resolve to save lives, hailed the quezon city local government and congratulated mayor joy belmonte for creating and implementing executive order no. 16 s-2021 or the “quezon city healthy public food procurement policy.""

quezon city is the first local government in the philippines to enact a healthy food procurement policy."
93,"24 areas in our city are under special concern lockdown areas due to the increasing number of covid-19 cases.

only specific areas are covered by the scla and not the entire barangay.

the local government will distribute food packs and essential kits for the affected families and they will undergo swab testing and mandatory 14-day quarantine."
94,"coun shared. kate coseteng of aid to the victims of f. castillo, brgy. life while hot soup for the residents of east kamias.

councilor irene belmonte's offering to the typhoon victims at the evacuation sites and the residents near the creek in the barangays of tatalon, roxas and pinagkaisahan was nutritious and hot porridge.

councilors roger juan and doc ellie juan have also launched porridge on wheels for evacuees affected by the floods in kaingin bukid and even in the households of barangay apolonio samson.

thanks to our local government for their concern for our qcitizens."
95,"the month of former president and founder of quezon city manuel luis quezon is celebrated every august.

in commemoration of his greatness and contribution to the city and the country, a mural contest was held for 142 qc barangays. for more details, visit the qc tourism & promotions facebook page."
96,"as part of efforts to contain the spread of covid-19 in workplaces and ensure the safety of frontline workers, the quezon city government has launched a free and expanded testing program for agencies, offices, and businesses in the city.

“we want to make sure that our frontliners and essential workers are safe in their respective places of work. we have to be proactive to contain any upsurge of cases, and one way to do that is to offer them free swab testing on a regular basis regardless of whether they are exhibiting symptoms or not,” said mayor joy belmonte.

quezoncity.gov.ph
qc offers free routine testing to safeguard frontline and essential workers, citizenry | quezon city government"
97,"the riverways cleaning operations group (rcog) cleaned the blocked leaves, branches and trees, from fallen trees caused by the incessant rain, in diliman creek of k6th, barangay kamuning.

the rcog also continues to be cleaned in various places, whether it is raining or shining, to ensure cleanliness and order in the city.

qc task force on solid waste management added 26 new photos to the album: riverways cleaning operations group (rcog).
July 31 at 12:51 pm ·

due to strong winds and softening of the soil caused by incessant rains, some trees fell and blocked the waterway in diliman creek of k6th barangay kamuning 🌧️😱

our riverways cleaning operations group or rcog responds to clean and collect blocked branches, leaves, and cuttings 🧡💙

we also keep cleaning our rcog in different parts of qc for the order and cleanliness of our city 👍

#roadtosanitationexcellence
#sanitationqc"
98,"the quezon city government has administered vaccines to more than 1 million residents and workers who are part of the a1-a5 priority groups.

as of august 5, the qcprotektodo vaccination program has administered 1,612,773 vaccines in quezon city. out of this total, 1,015,256 or 59.72% of its target of 1.7million individuals have received their first dose, including those who have received their single-dose janssen vaccines. meanwhile, 597, 517 (37.17%) individuals have received their second dose.

quezoncity.gov.ph
qcgov has inoculated more than 1 million individuals | quezon city government"
99,"here is the current state of our hospitals and hope community caring facilities.

if you need a facility for covid-19 mild or asymptomatic patients, contact your barangay to be admitted to our hope facilities."
100,"quezon city mayor joy belmonte asked qcpd police district chief antonio yarra to submit a written explanation to shed light on allegations made by rally organizers that the agreement forged among these protesters with the qclgu through mayor joy belmonte and qcpd district director antonio yarra was not honored by the latter.

quezoncity.gov.ph
qcpd chief asked to explain actions | quezon city government"
101,"in the fourth and final series of our webinar qc kabahagi center for children with disabilities once again invites you to join and learn new knowledge for the celebration of national disability prevention and rehabilitation week.

listen from suselyn pascual, mrs-sp, csp-pasp to learn speech and language simulation guides for children with disabilities.

kita-kits on coming july 30, 2021, 10 am-12nn on zoom or on facebook live of qc kabahagi center for children with disabilities

join zoom meeting
https://zoom.us/j/91407605773?pwd=ckjqbknhtgxhwenmdnbfcs9ruvzsdz09
meeting id: 914 0760 5773
passcode: ndpr2021"
102,"26 areas in our city are under special concern lockdown areas due to the increasing number of covid-19 cases.

only specific areas are covered by the scla and not the entire barangay.

the local government will distribute food packs and essential kits for the affected families and they will undergo swab testing and mandatory 14-day quarantine."
103,"nutritious and cheap vegetables and fruits for sale!

here is the latest schedule of kadiwa's harvest and income in the following areas this week.

growqc
august 2 at 2:21 pm ·

see the schedule of kadiwa ni ani at kita this week in quezon city, august 3 - 5, 2021.

buy vegetables before ecq! can be bought fresh and at a cheap price!
#growqc #kasamakasapagunlad #kadiwanianiatkita"
104,"relief goods rice, water, canned goods, etc. have been distributed for individuals and families currently in evacuation centers in barangays such as damayan, masambong, sta. cruz, delmonte, and old balara affected by typhoon #fabianph.

under the leadership of area coordinators from the office of mayor joy belmonte, the local government ensures that those in need are immediately met during such disasters."
105,"95.9% or 104,591 have recovered from #covid19ph in quezon city. according to the qc epidemiology and disease surveillance unit (cesu), 3,222 were confirmed active cases out of the 109,040 total number of positives in the city.

the data from doh goes through validation by cesu, health center staff and barangay officials to ensure that they are residents of qc. the number of cases in the city may change due to community-based testing.

meanwhile, previous covid-19 case updates can still be found on our website: https://quezoncity.gov.ph/covid-19-watch/"
106,"later! watch out for the first-ever *eduk action *: mayor’s education summit on our facebook page and identify those who participated in our search for the most outstanding education programs from our public schools.

In addition to watching, join our online trivia and question of the day for a chance to win our prizes.

see you later! here are the details:

July 29, 2021: https://www.facebook.com/qcgov/posts/621173119270449

July 30, 2021: https://www.facebook.com/qcgov/posts/621798715874556"
107,"96.1% or 104,316 have recovered from #covid19ph in quezon city. according to the qc epidemiology and disease surveillance unit (cesu), 3,072 were confirmed active cases out of 108,614 total number of positives in the city.

the data from doh goes through validation by cesu, health center staff and barangay officials to ensure that they are residents of qc. the number of cases in the city may change due to community-based testing.

meanwhile, previous covid-19 case updates can still be found on our website: https://quezoncity.gov.ph/covid-19-watch/"
108,"led by mayor joy belmonte with department of agriculture ncr assistant director dennis arpia, alliance global group ceo kevin tan, and brgy. ugong norte capt. yassi wells-jorge the inauguration of the open market at the gardens, a community fair at the clubhouse on temple drive.

the community market will feature vegetables, fruits and artisanal products from farmers who are part of this project.

can visit the community market every weekend starting July 29, from 6 am to 6 pm.

#supportlocal"
109,"jail time and fines await people behind the fraudulent sale, distribution or administration of covid-19 vaccines or vaccine slots, the falsification of covid-19 vaccination cards and other illegal acts in relation to covid-19 vaccinations in quezon city.

this after mayor joy belmonte received reports that some individuals are showing up at vaccination sites with fake notification texts from the city government.

quezoncity.gov.ph
qc imposes jail time, fines for illegal acts in relation to covid-19 jabs | quezon city government"
110,"according to octa research, there is a slight increase in the number of new cases of #covid19ph in our city. this is based on july 26 data from the department of health (doh) and city epidemiology and disease surveillance unit (cesu).

the reproduction number or r0 of quezon city is 1.18. slightly increased from the previous week.

this number indicates how severe the infection from the virus is. an r0 less than 1 means that every confirmed case of covid-19 has a small chance of infecting, or causing a new infection.

quezon city's testing capacity reached about 3,500 last week.

the city’s positivity rate rose again to 8%. this is higher than the world health organization standard of 5%. it shows the number of positives from the testing conducted."
111,"see: launched by barangay talipapa led by kap. eric juan the urban farming community pantry where residents will have healthy vegetables and fish from the barangay's community farms and aquaponics in exchange for recyclable materials such as bottles, newspapers and old clothes. in addition, they can also receive liquid fertilizer and potting mix that can be used in building their own urban farm.

according to kap. eric juan, the barangay wants to help the residents learn how to plant during the pandemic so that they can be given employment and have an adequate food supply."
112,"97% or 103,570 have recovered from #covid19ph in quezon city. according to the qc epidemiology and disease surveillance unit (cesu), 2,027 were confirmed active cases out of 106,814 total number of positives in the city.

the data from doh goes through validation by cesu, health center staff and barangay officials to ensure that they are residents of qc. the number of cases in the city may change due to community-based testing.

meanwhile, previous covid-19 case updates can still be found on our website: https://quezoncity.gov.ph/covid-19-watch/"
113,"despite the rain, vaccination against rabies for the fur babies of our qcitizens will continue.

here is the latest schedule of our anti-rabies vaccination and spay and neuter program of the city veterinary department.

note: the city's health protocol will still be strictly enforced. bring a face mask and faceshield and adhere to social distancing.

quezon city veterinary department
July 25 at 6:29 pm ·

for free anti rabies please click this link: https://www.facebook.com/qcvdgovph/photos/a.113355540618300/113354253951762/?type=3
inquire in your barangay for the exact time and place.

July 26, 2021
Apolonio samson - canceled
Baesa (daropa) - canceled

July 27,2021
❌don jose heights (holy spirit) - canceled

July 29, 2021
Holy spirit
❌sauyo
❌sign up
❌east kamias - canceled

July 30, 2021
❌teachers village east - canceled
❌united village - canceled
❌paraiso - canceled
❌sauyo (a village) -cancelled
❌sauyo (greenview village)- canceled

for free exile please click this link: https://www.facebook.com/qcvdgovph/photos/a.113355540618300/113354233951764/?

Please also read the guidelines to follow if you have been bitten by an animal that may have rabies.
https://www.facebook.com/110100100943844/posts/178768880743632/

for our other services please click this link: https://www.facebook.com/110100100943844/posts/113355590618295/

answers to your frequently asked questions about free anti rabies and captivity of your pets. please click this link:
https://www.facebook.com/110100100943844/posts/239624907991362/

bring yourself a ballpen, wear a face mask and face shields, and follow social distancing.
the deportation schedule will be announced in your barangay, inquire and pre -register in your barangay.

be updated always on changes or announcements in the weekly schedule here on our fb page or fb story."
114,"hope caring facilities of the city, has reached 11!

such hope facilities are those who care for those asymptomatic or with mild symptoms who are positive for covid-19.

you can contact your barangay to monitor and help those who test positive for covid-19 to be transferred to our hope caring facility to be given appropriate medical attention.

you can also message the quezon city epidemiology & disease surveillance facebook page.

#qcesuhelps
#hopecaringfacility

quezon city epidemiology & disease surveillance is sharing a covid-19 update.
July 27 at 6:00 pm ·

our city currently has 11 hope caring facilities that care for those who test positive for covid-19, whether asymptomatic or with mild symptoms.

- Each hope facility has its own clinic, pharmacy and supply room.

-patients and healthcare workers also have their own vitamins and hygiene kits that they can use in their quarantine and on duty at the facility.

- it also has room for families to test positive for the virus.

- also plan to have a dedicated room for qcitizen members of the lgbtqia+ community.

if you test positive for covid-19, immediately contact your village to monitor and help you be transferred to our hope caring facility that will provide you with appropriate medical attention.

have a question? message on our facebook page!

#qcesuhelps
#hopecaringfacility"
115,"calling all fur mommies and daddies! the city's anti-rabies vaccination program will continue at qc city hall from monday to friday. still strictly enforce health protocols, wear a face mask, face shield and ballpen and adhere to social distancing.

meanwhile, the free vaccination against rabies and the extermination of dogs and cats in each barangay will be postponed due to the existing community quarantine in the city. for more details, please contact the quezon city veterinary department facebook page.

quezon city veterinary department
July 13 at 2:18 pm ·

qcitizens here are the answers to your most frequently asked questions regarding our free anti rabies vaccinations and captivity service for your pet dogs and cats.

for free anti rabies please click this link: https://www.facebook.com/qcvdgovph/photos/a.113355540618300/113354253951762/?type=3

for free exile please click this link: https://www.facebook.com/qcvdgovph/photos/a.113355540618300/113354233951764/?

Please also read the guidelines to follow if you have been bitten by an animal that may have rabies.
https://www.facebook.com/110100100943844/posts/178768880743632/

for our other services please click this link: https://www.facebook.com/110100100943844/posts/113355590618295/"
116,"96.6% or 103,958 have recovered from #covid19ph in quezon city. according to the qc epidemiology and disease surveillance unit (cesu), 2,502 were confirmed active cases out of the 107,682 total number of positives in the city.

the data from doh goes through validation by cesu, health center staff and barangay officials to ensure that they are residents of qc. the number of cases in the city may change due to community-based testing.

meanwhile, previous covid-19 case updates can still be found on our website: https://quezoncity.gov.ph/covid-19-watch/"
117,"96.5% or 104,122 have recovered from #covid19ph in quezon city. according to the qc epidemiology and disease surveillance unit (cesu), 2,608 were confirmed active cases out of the 107,952 total number of positives in the city.

the data from doh goes through validation by cesu, health center staff and barangay officials to ensure that they are residents of qc. the number of cases in the city may change due to community-based testing.

meanwhile, previous covid-19 case updates can still be found on our website: https://quezoncity.gov.ph/covid-19-watch/"
118,"catch mayor joy belmonte at the thriveph: high-level discussions on policies and strategies to leave no one behind in covid-19 recovery, tomorrow august 3, 2021 from 10:00 am- 12:00 nn.

listen as she discusses the city’s policies and strategies on food systems, and micro, small and medium enterprises (msmes).

watch it at the united nations philippines facebook page or register now through the following link:
https://bit.ly/thrivephsession1

united nations philippines
july 30 at 10:00 am ·

only a few days to go before thriveph: high-level discussions on policies and strategies to leave no one behind in covid-19 recovery! #thriveph is happening on august 3, 4 and 5, 2021 from 10:00 am - 12:00 nn.

this discussion series showcases key findings for evidence-based policy recommendations and strategies in relation to food systems, micro, small and medium enterprises (msmes), and the country’s industrial base.

don't forget to tune in here at the un philippines facebook page to catch the following sessions below or register now through the following links! 👇👇👇

session 1 (august 3, tues, 10:00am): https://bit.ly/thrivephsession1
session 2 (august 4, wed, 10:00am): https://bit.ly/thrivephsession2
session 3 (august 5, thurs, 10:00am): https://bit.ly/thrivephsession3"
119,"whether it rains or shines, the
our special waste collection team to collect special waste from community-based testing centers, covid facilities, cesu offices, and special concern lockdown areas in the city to ensure cross-contamination is avoided.

for all solid waste management concerns, please email tfsolidwaste@quezoncity.gov.ph or report to qc task force on solid waste management.

qc task force on solid waste management added 63 new photos to the album: special waste collection-sharing a covid-19 update.
July 26 at 9:26 am ·

avoiding cross contamination even during the rainy season🌧️, we can see the colorful ppe of our special waste collection team circling community-based testing centers, covid facilities, cesu offices, and areas under special concern lockdown in our city. ⁇

stay safe and dry guys! ⁇

#sanitationqc
#roadtosanitationexcellence
#qclabancovid19
#beatcovid19"
120,"mmayor joy belmonte was one of the panelists at the #thriveph: high-level discussions on policies and strategies to leave no one behind in covid-19 recovery hosted by united nations philippines.

she discussed the city government’s self-reliant food system during the community quarantine. to date, there are 166 urban farms in quezon city. these farms have been the source of food and nutrition for underprivileged and malnourished families.

quezon city also established the healthy food procurement policy which ensures that food supplies procured by the local government for its programs and projects must comply with the city’s nutrition standards. this is a first in the country.

the event was also graced by food and agriculture organization (fao) ph head ms. kati tanninen, asian development bank country director mr. kelly bird, and rise against hunger ph chairperson paulyn ubial. veteran news anchor ms. karen davila and senior economist of the un in the philippines mr. john alikpala moderated the discussion.

watch it here: https://www.facebook.com/unphilippines/videos/572324880799210"
121,"97.2% or 103,174 have recovered from #covid19ph in quezon city. according to the qc epidemiology and disease surveillance unit (cesu), 1,749 were confirmed active cases out of 106,137 total number of positives in the city.

the data from doh goes through validation by cesu, health center staff and barangay officials to ensure that they are residents of qc. the number of cases in the city may change due to community-based testing.

meanwhile, previous covid-19 case updates can still be found on our website: https://quezoncity.gov.ph/covid-19-watch/"
122,"95.6% or 104,728 have recovered from #covid19ph in quezon city. according to the qc epidemiology and disease surveillance unit (cesu), 3,554 were confirmed active cases out of the 109,512 total number of positives in the city.

the data from doh goes through validation by cesu, health center staff and barangay officials to ensure that they are residents of qc. the number of cases in the city may change due to community-based testing.

meanwhile, previous covid-19 case updates can still be found on our website: https://quezoncity.gov.ph/covid-19-watch/"
123,"[weather advisory]

expect light to moderate with occasional heavy rainshowers in quezon city and nearby areas within the next 1-2 hours.

roads are slippery and prone to accident. flooding and landslide are possible in certain areas

all are advised to continue monitoring the latest weather updates issued by pagasa and quezon city drrmo.

for emergency, dial 122 or call qcdrrmo at 8927-5914; 8928-4396.

quezon city disaster risk reduction and management council
july 27 at 11:38 am ·

quezon city localized thunderstorm advisory #1
date issued: 27-july-2021 (tuesday)
time issued: 11:30 am pst

expect light to moderate with occasional heavy rainshowers over quezon city and nearby areas within the next 1-2 hours.

impact assessment:
road are slippery and prone to accident.
flooding and landslide are still possible in certain areas

all are advised to continue monitoring for the latest weather updates issued by pagasa and quezon city drrmo.
for any emergency please contact us through our hotline numbers 8927-5914/8928-4396 or simply dial 122.
pwede niyo rin kaming sundan sa aming official twitter account @quezoncitydrrmo.

#thunderstorm
#staysafeqc
#stayhome
#weatherqc
duty weather forecaster:
jbb
weather observer:
neh"
124,"97% or 103,391 have recovered from #covid19ph in quezon city. according to the qc epidemiology and disease surveillance unit (cesu), 1,948 were confirmed active cases out of 106,555 total number of positives in the city.

the data from doh goes through validation by cesu, health center staff and barangay officials to ensure that they are residents of qc. the number of cases in the city may change due to community-based testing.

meanwhile, previous covid-19 case updates can still be found on our website: https://quezoncity.gov.ph/covid-19-watch/"
125,"27 areas in our city are under special concern lockdown areas due to the increasing number of covid-19 cases.

only specific areas are covered by the scla and not the entire barangay.

the local government will distribute food packs and essential kits for the affected families and they will undergo swab testing and mandatory 14-day quarantine."
